年度,人口數,上年底人口數,出生人數,死亡人數,自然增加,遷入人數,遷出人數,社會增加,0~14歲,15~64歲,65歲以上
86,21742815,21525433,326002,121000,205002,1704992,1692612,12380,4914280,15076479,1752056
87,21928591,21742815,271450,123180,148270,1635617,1598111,37506,4815400,15302960,1810231
88,22092387,21928591,283661,126113,157548,1444021,1437773,6248,4734596,15492319,1865472
89,22276672,22092387,305312,125958,179354,1381843,1376912,4931,4703093,15652271,1921308
90,22405568,22276672,260354,127647,132707,1373363,1377174,-3811,4661884,15770327,1973357
91,22520776,22405568,247530,128636,118894,1452575,1456261,-3686,4598892,15890584,2031300
92,22604550,22520776,227070,130801,96269,1273526,1286021,-12495,4481620,16035196,2087734
93,22689122,22604550,216419,135092,81327,1264937,1261692,3245,4387082,16151565,2150475
94,22770383,22689122,205854,139398,66456,1442018,1427213,14805,4259049,16294530,2216804
95,22876527,22770383,204459,135839,68620,1414340,1376816,37524,4145631,16443867,2287029
96,22958360,22876527,204414,141111,63303,1173040,1154510,18530,4030645,16584623,2343092
97,23037031,22958360,198733,143624,55109,1196407,1172845,23562,3905203,16729608,2402220
98,23119772,23037031,191310,143582,47728,1198561,1163548,35013,3778018,16884106,2457648
99,23162123,23119772,166886,145772,21114,1213899,1192662,21237,3624311,17049919,2487893
100,23224912,23162123,196627,152915,43712,1128449,1109372,19077,3501790,17194873,2528249
101,23315822,23224912,229481,154251,75230,1118006,1102326,15680,3411677,17303993,2600152
102,23373517,23315822,199113,155908,43205,1079702,1065212,14490,3346601,17332510,2694406
103,23433753,23373517,210383,163929,46454,1073783,1060001,13782,3277300,17347763,2808690
104,23492074,23433753,213598,163858,49740,1004108,995527,8581,3187780,17365715,2938579
105,23539816,23492074,208440,172405,36035,964536,952829,11707,3141881,17291830,3106105
106,23571227,23539816,193844,171242,22602,948049,939240,8809,3091873,17211341,3268013
107,23588932,23571227,181601,172784,8817,984815,975927,8888,3048227,17107188,3433517
108,23603121,23588932,177767,176296,1471,972043,959325,12718,3010351,16985643,3607127
109,23561236,23603121,165249,173156,-7907,946251,980229,-33978,2963396,16810525,3787315
110,23375314,23561236,153820,183732,-29912,920703,1076713,-156010,2889908,16546373,3939033
